Year,Composite Stock Price Index,Central Bank Policy Rate,Deposit Rate,Lending Rate,Exchange Rate,Merchandise Trade Balance,Industrial Production Growth Rate,CPI,Core CPI,Retail Sales Growth,Broad Money Growth,Bloomberg commodity index
2003-01,175.942,4.8,6.78,9.48,15426,-0.008,21.523,3.823,3.84,23.021,17.037,118.64
2003-02,167.878,4.8,6.84,9.3,15426,-0.15,18.929,3.84,3.84,23.021,16.494,122.53
2003-03,158.559,6.6,6.99,9.46,15450,-0.07,13.716,4.036,4.05,31.512,17.484,113.17
2003-04,149.706,6.6,6.99,9.42,15464,-0.24,15.108,4.036,4.05,21.706,17.177,112.36
2003-05,154.257,6.6,6.99,9.46,15474,-0.58,26.001,3.628,3.63,22.564,18.165,118.82
2003-06,152.001,6,7.14,9.46,15497,-0.35,11.903,3.229,3.22,24.975,22.984,115.79
2003-07,150.317,6,7.14,9.53,15514,-0.32,6.257,3.001,3.01,29.174,21.748,116.4
2003-08,142.557,5,6.56,9.53,15520,-0.23,13.619,2.801,2.81,31.574,22.878,120.9
2003-09,140.866,5,6.12,9.57,15554,-0.252,18.831,2.696,2.7,29.447,26.557,120.9
2003-10,135.248,5,5.97,9.47,15642,-0.3,32.991,2.197,2.19,33.416,27.548,126.57
2003-11,149.911,5,5.97,9.54,15626,-0.39,33.756,2.517,2.5,40.44,28.987,126.09
2003-12,164.967,5,5.97,9.54,15642,-0.541,27.047,3.031,3.01,51.597,33.052,135.27
2004-01,181.468,5,5.97,9.54,15695,-0.188,6.263,3.23,3.21,22.177,30.557,137.62
2004-02,225.144,5,5.97,9.54,15754,-0.13,29.807,4.014,4.02,20.666,31.446,146.45
2004-03,265.199,5,5.97,9.54,15721,-0.3,18.529,5.501,5.49,11.458,34.348,150.84
2004-04,261.605,5,5.97,9.54,15718,-0.43,18.157,6.01,6.01,24.231,34.6,148.05
2004-05,259.712,5,5.97,9.54,15694,-0.52,20.62,7.066,7.07,22.587,33.216,150.44
2004-06,249.701,5,5.97,9.54,15672,-0.48,24.281,8.235,8.26,24.258,29.5,144.03
2004-07,244.029,5,5.97,9.54,15698,-0.39,28.328,9.126,9.12,21.351,30.977,146.41
2004-08,228.266,5,6.21,9.63,15710,-0.28,20.708,9.904,9.89,18.267,32.859,143.56
2004-09,231.252,5,6.48,9.87,15712,-0.45,13.074,10.118,10.11,22.692,30.498,153.18
2004-10,233.038,5,6.51,10.01,15742,-0.35,10.069,10.33,10.33,19.855,30.325,155.55
2004-11,231.076,5,6.54,10.25,15770,-0.5,10.415,9.885,9.89,17.064,31.674,153.41
2004-12,233.527,5,6.54,10.25,15770,-0.8,15.81,9.68,9.67,13.128,31.05,145.6
2005-01,235.243,5,6.54,11.1,15780,-0.43,32.521,9.668,9.67,19.959,28.066,146.82
2005-02,234.622,5,6.54,11.1,15800,-0.45,3.513,9.146,9.14,11.359,30.114,156.89
2005-03,240.46,5,7.2,10.8,15825,-0.3,24.954,8.379,8.38,18.956,27.947,162.09
2005-04,245.914,5,7.2,10.8,15778,-0.5,25.434,8.488,8.49,16.877,28.268,152.29
2005-05,243.714,5,7.2,11.03,15857,-0.65,24.865,8.086,8.06,29.683,27.809,150.73
2005-06,246.206,5,7.2,11.03,15855,-0.75,23.395,7.638,7.63,17.695,29.586,152.89
2005-07,249.588,5,7.2,11.03,15875,-0.4,24.638,7.541,7.52,18.719,28.298,159.33
2005-08,251.096,5,7.53,11.18,15870,-0.3,26.294,7.291,7.31,21.512,29.277,170.82
2005-09,268.959,5,7.53,11.18,15842,-0.3,31.8,7.851,7.85,27.074,29.727,178.25
2005-10,299.059,5,7.53,11.4,15890,-0.35,37.082,8.287,8.28,24.036,28.744,166.52
2005-11,314.07,5,7.53,11.4,15910,-0.35,35.644,8.474,8.49,27.657,28.013,166.4
2005-12,311.93,5,7.53,11.18,15915,-0.33,17.993,8.682,8.71,36.088,30.907,171.15
2006-01,308.504,5,7.65,11.18,15914.1,0.466,13.274,8.816,8.82,28.835,34.635,173.67
2006-02,339.544,5,7.65,11.18,15923.4,-0.3,29.356,8.408,8.39,33.315,32.461,162.23
2006-03,440.177,5,7.65,11.18,15913.91,-0.1,12.795,7.731,7.74,34.594,35.388,165.19
2006-04,563.273,5,7.53,11.18,15931.45,-0.3,15.292,7.327,7.31,18.588,33.804,175.77
2006-05,563.077,5,7.65,11.18,15968.48,-0.4,14.891,7.398,7.45,7.495,34.081,176.68
2006-06,526.586,5,7.65,11.18,15983.46,-0.6,10.865,7.425,7.44,25.912,33.523,173.24
2006-07,480.399,5,7.65,11.18,15997.38,-0.55,11.69,7.422,7.43,38.095,34.075,178.03
2006-08,457.846,5,7.65,11.18,16010.26,-0.44,10.886,7.42,7.41,27.271,32.659,170.88
2006-09,512.774,5,7.65,11.18,16033.43,-0.6,13.224,6.875,6.88,33.295,30.325,159.96
2006-10,526.515,5,7.65,11.18,16061.46,-0.65,9.834,6.66,6.71,30.125,30.392,166.82
2006-11,572.289,6.5,7.65,11.18,16086.96,-0.64,10.892,6.902,6.93,28.524,30.612,175.21
2006-12,729.199,6.5,7.68,11.18,16064.05,-0.5,17.597,6.582,6.63,27.274,29.671,166.51
2007-01,921.807,6.5,7.68,11.18,16055.09,-0.572,20.17,6.397,6.48,20.678,28.811,166.09
2007-02,1083.61,6.5,7.65,11.18,15992.5,-0.5,5.342,6.471,6.55,28.754,33.978,171.01
2007-03,1110.99,6.5,7.65,11.18,16011.36,-0.2,10.446,6.789,6.85,15.761,35.6,171.96
2007-04,991.513,6.5,7.65,11.18,16036.57,-0.55,9.416,7.084,7.16,34.096,38.962,173.22
2007-05,1041.02,6.5,7.44,11.18,16057.91,-0.7,10.312,7.273,7.31,41.613,40.638,172.72
2007-06,1044.65,6.5,7.44,11.18,16114,-0.95,16.813,7.753,7.8,26.696,41.586,169.67
2007-07,987.531,6.5,7.44,11.18,16135.09,-0.8,14.809,8.331,8.39,14.889,43.695,172.45
2007-08,905.383,6.5,7.44,11.18,16212.39,-0.8,14.655,8.502,8.57,19.029,43.246,165.57
2007-09,952.392,6.5,7.44,11.18,16198.85,-1,7.599,8.729,8.8,10.069,47.539,178.25
2007-10,1090.92,6.5,7.2,11.18,16083.74,-1.05,7.33,9.315,9.34,20.86,50.501,183.52
2007-11,1004.32,6.5,7.2,11.18,16063.32,-1.25,11.411,9.985,10.01,35.147,49.777,177.25
2007-12,942.522,6.5,7.2,11.18,16038.76,-1.6,10.713,12.625,12.63,25.251,49.106,184.96
2008-01,845.592,7.5,8.97,11.18,15987.17,-2.287,7.441,14.12,14.11,38.713,48.193,192.29
2008-02,783.505,7.5,11.19,14.6,15955.29,-2,20.179,15.678,15.67,34.698,41.421,215.52
2008-03,583.799,7.5,11.52,14.27,15907.19,-2.3,24.119,19.386,19.39,27.303,36.986,201.6
2008-04,532.101,7.5,13.25,16.53,16116.23,-2.75,16.699,21.434,21.42,42.21,30.492,208.55
2008-05,467.802,15,16.64,19.11,16172.77,-2.85,14.151,25.209,25.2,26.186,29.118,213.95
2008-06,382.685,15,16.89,20.25,16523.19,-1.3,12.072,26.793,26.8,35.672,25.829,233.03
2008-07,449.538,15,17.16,20.19,16800.74,-0.8,11.035,27.034,27.04,37.14,23.11,205.1
